candidate_id,edge_id,stage_span,dy_um,L_lb_um,port_facing_wrap_penalty_um,minimum_bend_count_lb,source_facing,target_facing,source_away,target_away,source_xy,target_xy,source_access_xy,target_access_xy,estimated_edge_cost_db
e_a7d2cce06f6f,stage:2:w0:waksman_8x8_s2_w0_4.th->waksman_8x8_s3_w0_2.in:w0,1,75.0,227.0,0.0,2,E,W,False,False,"(429.0, 250.5)","(581.0, 325.5)","(461.0, 250.5)","(549.0, 325.5)",0.454
e_a7d2cce06f6f,stage:2:w1:waksman_8x8_s2_w1_5.th->waksman_8x8_s3_w1_3.in:w1,1,75.0,227.0,0.0,2,E,W,False,False,"(429.0, 197.5)","(581.0, 122.5)","(461.0, 197.5)","(549.0, 122.5)",0.454
e_a7d2cce06f6f,stage:2:w2:waksman_8x8_s2_w2_6.th->waksman_8x8_s3_w0_2.add:w2,1,181.0,413.0,64.0,2,E,E,False,True,"(429.0, 133.5)","(597.0, 314.5)","(461.0, 133.5)","(629.0, 314.5)",0.8260000000000001
e_a7d2cce06f6f,stage:2:w3:waksman_8x8_s2_w3_7.th->waksman_8x8_s3_w1_3.add:w3,1,192.0,424.0,64.0,2,E,E,False,True,"(429.0, 325.5)","(597.0, 133.5)","(461.0, 325.5)","(629.0, 133.5)",0.848
e_a7d2cce06f6f,stage:3:w0:waksman_8x8_s3_w0_2.th->waksman_8x8_s4_w0_1.in:w0,1,299.0,451.0,0.0,2,E,W,False,False,"(597.0, 325.5)","(749.0, 26.5)","(629.0, 325.5)","(717.0, 26.5)",0.902
e_a7d2cce06f6f,stage:3:w1:waksman_8x8_s3_w1_3.th->waksman_8x8_s4_w0_1.add:w1,1,85.0,317.0,64.0,2,E,E,False,True,"(597.0, 122.5)","(765.0, 37.5)","(629.0, 122.5)","(797.0, 37.5)",0.634
e_a7d2cce06f6f,stage:3:w2:waksman_8x8_s3_w0_2.drop->waksman_8x8_s4_w2_3.in:w2,1,160.0,392.0,64.0,2,W,W,True,False,"(581.0, 314.5)","(749.0, 154.5)","(549.0, 314.5)","(717.0, 154.5)",0.784
e_a7d2cce06f6f,stage:3:w3:waksman_8x8_s3_w1_3.drop->waksman_8x8_s4_w2_3.add:w3,1,32.0,344.0,128.0,2,W,E,True,True,"(581.0, 133.5)","(765.0, 165.5)","(549.0, 133.5)","(797.0, 165.5)",0.6880000000000001
e_a7d2cce06f6f,stage:2:w4:waksman_8x8_s2_w0_4.drop->waksman_8x8_s4_w4_5.in:w4,2,21.0,421.0,64.0,2,W,W,True,False,"(413.0, 261.5)","(749.0, 282.5)","(381.0, 261.5)","(717.0, 282.5)",0.842
e_a7d2cce06f6f,stage:2:w5:waksman_8x8_s2_w1_5.drop->waksman_8x8_s4_w4_5.add:w5,2,107.0,587.0,128.0,2,W,E,True,True,"(413.0, 186.5)","(765.0, 293.5)","(381.0, 186.5)","(797.0, 293.5)",1.174
e_a7d2cce06f6f,output:waksman_8x8_s4_w0_1.th->w0,1,421.5,483.5,0.0,2,E,W,False,False,"(765.0, 26.5)","(827.0, 448.0)","(797.0, 26.5)","(827.0, 448.0)",0.967
e_a7d2cce06f6f,output:waksman_8x8_s4_w0_1.drop->w1,1,346.5,488.5,64.0,2,W,W,True,False,"(749.0, 37.5)","(827.0, 384.0)","(717.0, 37.5)","(827.0, 384.0)",0.977
e_a7d2cce06f6f,output:waksman_8x8_s4_w2_3.th->w2,1,165.5,227.5,0.0,2,E,W,False,False,"(765.0, 154.5)","(827.0, 320.0)","(797.0, 154.5)","(827.0, 320.0)",0.455
e_a7d2cce06f6f,output:waksman_8x8_s4_w2_3.drop->w3,1,90.5,232.5,64.0,2,W,W,True,False,"(749.0, 165.5)","(827.0, 256.0)","(717.0, 165.5)","(827.0, 256.0)",0.465
e_a7d2cce06f6f,output:waksman_8x8_s4_w4_5.th->w4,1,90.5,152.5,0.0,2,E,W,False,False,"(765.0, 282.5)","(827.0, 192.0)","(797.0, 282.5)","(827.0, 192.0)",0.305
e_a7d2cce06f6f,output:waksman_8x8_s4_w4_5.drop->w5,1,165.5,307.5,64.0,2,W,W,True,False,"(749.0, 293.5)","(827.0, 128.0)","(717.0, 293.5)","(827.0, 128.0)",0.615
e_a7d2cce06f6f,output:waksman_8x8_s2_w2_6.drop->w6,3,58.5,536.5,64.0,2,W,W,True,False,"(413.0, 122.5)","(827.0, 64.0)","(381.0, 122.5)","(827.0, 64.0)",1.073
e_a7d2cce06f6f,output:waksman_8x8_s2_w3_7.drop->w7,3,314.5,792.5,64.0,2,W,W,True,False,"(413.0, 314.5)","(827.0, 0.0)","(381.0, 314.5)","(827.0, 0.0)",1.585
e_afd2ec37c3cb,input:w0->waksman_8x8_s0_w0_1.in,1,421.5,478.5,0.0,2,E,W,False,False,"(20.0, 448.0)","(77.0, 26.5)","(20.0, 448.0)","(45.0, 26.5)",0.9570000000000001
